tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
95,12/1/19 11:29 AM,12/1/19 11:30 AM,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,29232,Subscriber,1979,1
371,12/1/19 11:29 AM,12/1/19 11:36 AM,3202,Newport PATH,40.7272235,-74.0337589,3186,Grove St PATH,40.71958612,-74.04311746,29527,Subscriber,1962,1
235,12/1/19 11:30 AM,12/1/19 11:34 AM,3273,Manila & 1st,40.72165072,-74.04288411,3638,Washington St,40.7242941,-74.0354826,26271,Subscriber,1994,1
341,12/1/19 11:30 AM,12/1/19 11:35 AM,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.73367,-74.0625,29437,Subscriber,1969,1
187,12/1/19 11:34 AM,12/1/19 11:37 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29491,Subscriber,1984,2
231,12/1/19 11:36 AM,12/1/19 11:40 AM,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29287,Subscriber,1986,2
192,12/1/19 11:42 AM,12/1/19 11:45 AM,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,29623,Subscriber,1980,2
341,12/1/19 11:44 AM,12/1/19 11:50 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3185,City Hall,40.7177325,-74.043845,29526,Subscriber,1980,2
443,12/1/19 11:45 AM,12/1/19 11:52 AM,3275,Columbus Drive,40.7183552,-74.03891444,3278,Monmouth and 6th,40.72568548,-74.04879034,29547,Subscriber,1988,2
164,12/1/19 11:47 AM,12/1/19 11:50 AM,3205,JC Medical Center,40.71653978,-74.04963791,3481,York St,40.71649,-74.04105,26284,Subscriber,1993,1
375,12/1/19 11:52 AM,12/1/19 11:58 AM,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,29249,Subscriber,1995,2
178,12/1/19 11:54 AM,12/1/19 11:57 AM,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,29469,Subscriber,1992,2
